                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    102,                 0.5915,                 1.3417,                 1.0835,                0.48914,                0.78993,                0.57387,                0.52184,                0.38867,                 1.1822,                0.93597,               0.006667,               0.006667,               0.006667
                    103,                0.57675,                 1.2831,                 1.0518,                 0.4912,                0.77404,                0.57496,                0.51392,                0.42807,                 1.4866,                0.96535,               0.006634,               0.006634,               0.006634
                    104,                0.60168,                 1.3001,                 1.0614,                0.53249,                0.71146,                0.53723,                0.48401,                0.41472,                 1.2967,                 0.9594,               0.006601,               0.006601,               0.006601
                    105,                0.57337,                 1.3021,                 1.0493,                0.54155,                0.82757,                0.56838,                0.51517,                0.39769,                 1.3455,                0.96806,               0.006568,               0.006568,               0.006568
                    106,                0.56609,                 1.2468,                 1.0555,                0.39012,                0.79235,                0.50486,                0.45782,                0.42141,                 2.4852,                0.97656,               0.006535,               0.006535,               0.006535
                    107,                0.58863,                 1.2615,                 1.0615,                0.53897,                0.80194,                0.60199,                 0.5189,                0.51063,                 1.1922,                  1.003,               0.006502,               0.006502,               0.006502
                    108,                0.60915,                 1.2834,                  1.056,                0.28031,                0.68076,                0.56363,                0.50902,                0.40911,                 1.6259,                0.96937,               0.006469,               0.006469,               0.006469
                    109,                0.58147,                 1.2336,                   1.05,                0.50417,                0.83889,                0.63471,                0.55953,                0.46977,                 1.2652,                0.99447,               0.006436,               0.006436,               0.006436
                    110,                 0.5945,                 1.2362,                 1.0676,                 0.4221,                0.81156,                0.54101,                0.49248,                0.39334,                 1.4049,                0.95189,               0.006403,               0.006403,               0.006403
                    111,                0.58059,                 1.2273,                 1.0436,                0.45719,                0.70509,                0.54421,                 0.4949,                0.41782,                 1.5132,                0.96685,                0.00637,                0.00637,                0.00637
                    112,                0.57539,                  1.272,                  1.054,                 0.4748,                0.84874,                0.57337,                 0.5248,                  0.387,                 1.2423,                 0.9294,               0.006337,               0.006337,               0.006337
                    113,                0.60482,                 1.2561,                 1.0645,                0.35131,                0.78967,                0.55733,                0.50571,                0.45633,                 1.8452,                 1.0078,               0.006304,               0.006304,               0.006304
                    114,                0.57192,                 1.2413,                 1.0454,                0.39323,                0.68299,                0.51038,                 0.4579,                0.42148,                 1.5995,                 0.9385,               0.006271,               0.006271,               0.006271
                    115,                0.61388,                 1.2653,                 1.0648,                0.33134,                0.67519,                0.54224,                 0.4639,                0.54711,                 1.4596,                 1.0935,               0.006238,               0.006238,               0.006238
                    116,                0.57295,                 1.2189,                 1.0616,                0.34233,                0.81663,                0.50744,                0.43502,                0.48811,                   1.67,                 1.0236,               0.006205,               0.006205,               0.006205
                    117,                0.58002,                 1.2644,                  1.062,                0.56104,                0.77776,                0.62365,                0.57674,                 0.3565,                 1.5319,                0.90943,               0.006172,               0.006172,               0.006172
                    118,                0.58597,                 1.2776,                 1.0544,                0.44691,                0.79951,                0.63453,                0.56097,                0.44147,                 1.1214,                0.96468,               0.006139,               0.006139,               0.006139
                    119,                0.57622,                 1.2131,                 1.0459,                0.51684,                0.75878,                0.63495,                0.57812,                0.39869,                 1.3603,                0.94492,               0.006106,               0.006106,               0.006106
                    120,                0.58604,                 1.2151,                 1.0645,                0.44589,                0.87396,                0.63841,                0.58906,                0.36545,                 1.0397,                0.92872,               0.006073,               0.006073,               0.006073
                    121,                0.56802,                 1.2151,                 1.0488,                0.44592,                0.77738,                 0.6126,                0.56678,                0.40058,                 1.3727,                0.96295,                0.00604,                0.00604,                0.00604
                    122,                0.57178,                 1.2471,                 1.0474,                0.61071,                 0.5598,                0.53344,                0.48877,                0.39071,                  1.384,                0.91456,               0.006007,               0.006007,               0.006007
                    123,                 0.5515,                 1.2234,                 1.0324,                0.48012,                0.82514,                0.59298,                0.54206,                0.40591,                  1.238,                0.94809,               0.005974,               0.005974,               0.005974
                    124,                0.57624,                 1.2074,                 1.0397,                 0.3918,                0.77699,                0.54951,                0.48223,                0.42642,                   1.45,                0.96004,               0.005941,               0.005941,               0.005941
                    125,                0.57082,                  1.221,                 1.0287,                0.49187,                0.82105,                 0.6229,                0.57722,                0.37602,                   1.14,                 0.9156,               0.005908,               0.005908,               0.005908
                    126,                0.57779,                 1.2214,                  1.041,                0.47767,                0.82109,                0.60339,                 0.5637,                0.40033,                 1.2597,                0.94161,               0.005875,               0.005875,               0.005875
                    127,                 0.5606,                 1.1908,                 1.0337,                0.49294,                0.71115,                0.54483,                0.44065,                0.71224,                 1.4815,                 1.1346,               0.005842,               0.005842,               0.005842
                    128,                0.57131,                 1.1874,                 1.0543,                0.47557,                0.70996,                 0.6236,                0.56889,                0.44863,                  1.137,                0.97119,               0.005809,               0.005809,               0.005809
                    129,                0.53509,                 1.1978,                 1.0255,                0.50048,                0.79907,                0.60699,                0.55965,                 0.3828,                 1.1589,                0.93826,               0.005776,               0.005776,               0.005776
                    130,                0.56115,                 1.2069,                 1.0468,                0.46386,                0.77707,                0.61243,                 0.5634,                0.39221,                 1.1998,                 0.9659,               0.005743,               0.005743,               0.005743
                    131,                0.56826,                 1.1697,                 1.0366,                0.45237,                0.74676,                0.58375,                0.53109,                0.41474,                 1.4229,                0.94661,                0.00571,                0.00571,                0.00571
                    132,                0.56487,                 1.1685,                 1.0475,                0.47802,                0.77739,                0.64409,                0.59268,                 0.3675,                 1.1313,                0.93693,               0.005677,               0.005677,               0.005677
                    133,                0.57054,                 1.1876,                  1.045,                0.41979,                0.86072,                0.60778,                0.55135,                0.39125,                 1.1498,                0.94766,               0.005644,               0.005644,               0.005644
                    134,                0.54738,                 1.1639,                 1.0385,                0.45093,                0.69524,                0.57774,                0.52318,                0.42186,                 1.3337,                 0.9568,               0.005611,               0.005611,               0.005611
                    135,                0.55493,                 1.1605,                   1.05,                0.49753,                 0.8229,                 0.6114,                0.56958,                0.37118,                 1.2204,                0.94252,               0.005578,               0.005578,               0.005578
                    136,                0.55284,                 1.1436,                   1.04,                0.45329,                0.86501,                0.62783,                0.55637,                0.47776,                 1.3079,                0.97222,               0.005545,               0.005545,               0.005545
                    137,                 0.5527,                  1.145,                 1.0362,                0.45653,                0.81379,                0.61392,                0.56599,                  0.373,                 1.1258,                0.90849,               0.005512,               0.005512,               0.005512
                    138,                0.53371,                  1.089,                 1.0175,                0.47777,                0.81561,                0.63378,                0.58941,                0.37126,                  1.009,                0.93028,               0.005479,               0.005479,               0.005479
                    139,                0.57329,                 1.1844,                 1.0431,                0.48384,                0.82986,                0.59656,                0.54791,                0.38684,                  1.458,                0.92088,               0.005446,               0.005446,               0.005446
                    140,                0.54036,                 1.1895,                 1.0286,                 0.5229,                0.71853,                0.65157,                 0.5931,                0.37662,                 1.1568,                0.92379,               0.005413,               0.005413,               0.005413
                    141,                0.56292,                 1.1589,                 1.0554,                 0.5716,                0.77429,                0.61628,                0.56019,                0.39461,                 1.1488,                 0.9473,                0.00538,                0.00538,                0.00538
                    142,                0.54985,                  1.157,                 1.0239,                0.41176,                0.83506,                0.59069,                0.50339,                0.49386,                 1.2233,                0.99721,               0.005347,               0.005347,               0.005347
                    143,                0.56411,                 1.1441,                 1.0599,                0.49259,                0.76727,                0.58405,                0.52879,                0.37967,                 1.1766,                0.94169,               0.005314,               0.005314,               0.005314
                    144,                0.52484,                 1.1296,                 1.0231,                0.44177,                0.80114,                0.60783,                0.56551,                0.35807,                 1.1318,                0.91591,               0.005281,               0.005281,               0.005281
                    145,                0.55026,                 1.1608,                 1.0313,                0.47843,                0.81572,                0.59046,                0.53997,                0.39937,                 1.2624,                0.95365,               0.005248,               0.005248,               0.005248
                    146,                0.55238,                 1.1517,                 1.0268,                0.35272,                0.80968,                0.57571,                0.52476,                0.38599,                 1.7322,                0.94187,               0.005215,               0.005215,               0.005215
                    147,                0.52826,                 1.1248,                 1.0183,                0.43242,                 0.8277,                 0.5543,                0.51801,                 0.3462,                 1.2982,                0.90155,               0.005182,               0.005182,               0.005182
                    148,                0.53688,                 1.1217,                 1.0334,                0.47476,                0.85011,                0.61062,                0.56603,                0.36866,                 1.0875,                0.93069,               0.005149,               0.005149,               0.005149
                    149,                0.55223,                 1.1113,                 1.0322,                0.47014,                0.83102,                0.59718,                0.54337,                0.38254,                 1.0482,                0.94473,               0.005116,               0.005116,               0.005116
                    150,                 0.5401,                 1.1087,                 1.0378,                0.48586,                0.79417,                 0.6438,                0.58592,                 0.3865,                 1.1123,                0.93832,               0.005083,               0.005083,               0.005083
                    151,                0.53111,                 1.1227,                 1.0236,                0.46694,                0.81811,                 0.6004,                  0.551,                0.36579,                 1.1049,                0.91082,                0.00505,                0.00505,                0.00505
                    152,                0.55547,                 1.1313,                  1.046,                0.43141,                0.71982,                0.55124,                0.48151,                0.37673,                 1.9016,                0.92769,               0.005017,               0.005017,               0.005017
